team_id,team_name,in_2018,team_seed,team_region,rd0_win,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,loss_margin,tourn_id,opp_id,owner,cost,return
331,Villanova University,1,1,East,,,,,,,,,1,16,,,
166,Purdue University,1,2,East,,,,,,,,,2,15,,,
212,Texas Tech University,1,3,East,,,,,,,,,3,14,,,
344,Wichita State University,1,4,East,,,,,,,,,4,13,,,
339,West Virginia University,1,5,East,,,,,,,,,5,12,,,
245,University of Florida,1,6,East,,,,,,,,,6,11,,,
226,University of Arkansas,1,7,East,,,,,,,,,7,10,,,
334,Virginia Polytechnic Institute and State University,1,8,East,,,,,,,,,8,9,,,
223,University of Alabama,1,9,East,,,,,,,,,9,8,,,
25,Butler University,1,10,East,,,,,,,,,10,7,,,
"196,232",St. Bonaventure/UCLA,1,11,East,,,,,,,,,11,6,,,
136,Murray State University,1,12,East,,,,,,,,,12,5,,,
122,Marshall University,1,13,East,,,,,,,,,13,4,,,
200,Stephen F. Austin State University,1,14,East,,,,,,,,,14,3,,,
29,"California State University, Fullerton",1,15,East,,,,,,,,,15,2,,,
"112,168",Long Island Brooklyn/Radford,1,16,East,,,,,,,,,16,1,,,
254,University of Kansas,1,1,Midwest,,,,,,,,,17,32,,,
57,Duke University,1,2,Midwest,,,,,,,,,18,31,,,
126,Michigan State University,1,3,Midwest,,,,,,,,,19,30,,,
9,Auburn University,1,4,Midwest,,,,,,,,,20,29,,,
39,Clemson University,1,5,Midwest,,,,,,,,,21,28,,,
209,Texas Christian University,1,6,Midwest,,,,,,,,,22,27,,,
296,University of Rhode Island,1,7,Midwest,,,,,,,,,23,26,,,
185,Seton Hall University,1,8,Midwest,,,,,,,,,24,25,,,
144,North Carolina State University,1,9,Midwest,,,,,,,,,25,24,,,
291,University of Oklahoma,1,10,Midwest,,,,,,,,,26,23,,,
"7, 203",Arizona State/Syracuse,1,11,Midwest,,,,,,,,,27,22,,,
138,New Mexico State University,1,12,Midwest,,,,,,,,,28,21,,,
43,College of Charleston,1,13,Midwest,,,,,,,,,29,20,,,
24,Bucknell University,1,14,Midwest,,,,,,,,,30,19,,,
97,Iona College,1,15,Midwest,,,,,,,,,31,18,,,
293,University of Pennsylvania,1,16,Midwest,,,,,,,,,32,17,,,
321,University of Virginia,1,1,South,,,,,,,,,33,48,,,
237,University of Cincinnati,1,2,South,,,,,,,,,34,47,,,
307,University of Tennessee,1,3,South,,,,,,,,,35,46,,,
225,University of Arizona,1,4,South,,,,,,,,,36,45,,,
255,University of Kentucky,1,5,South,,,,,,,,,37,44,,,
266,University of Miami,1,6,South,,,,,,,,,38,43,,,
276,"University of Nevada, Reno",1,7,South,,,,,,,,,39,42,,,
50,Creighton University,1,8,South,,,,,,,,,40,41,,,
103,Kansas State University,1,9,South,,,,,,,,,41,40,,,
311,University of Texas at Austin,1,10,South,,,,,,,,,42,39,,,
117,Loyola University Chicago,1,11,South,,,,,,,,,43,38,,,
52,Davidson College,1,12,South,,,,,,,,,44,37,,,
221,"University at Buffalo, SUNY",1,13,South,,,,,,,,,45,36,,,
347,Wright State University,1,14,South,,,,,,,,,46,35,,,
81,Georgia State University,1,15,South,,,,,,,,,47,34,,,
261,"University of Maryland, Baltimore County",1,16,South,,,,,,,,,48,33,,,
348,Xavier University,1,1,West,,,,,,,,,49,64,,,
281,University of North Carolina at Chapel Hill,1,2,West,,,,,,,,,50,63,,,
267,University of Michigan,1,3,West,,,,,,,,,51,62,,,
82,Gonzaga University,1,4,West,,,,,,,,,52,61,,,
153,Ohio State University,1,5,West,,,,,,,,,53,60,,,
249,University of Houston,1,6,West,,,,,,,,,54,59,,,
207,Texas A&M University,1,7,West,,,,,,,,,55,58,,,
270,University of Missouri,1,8,West,,,,,,,,,56,57,,,
72,Florida State University,1,9,West,,,,,,,,,57,56,,,
165,Providence College,1,10,West,,,,,,,,,58,55,,,
181,San Diego State University,1,11,West,,,,,,,,,59,54,,,
188,South Dakota State University,1,12,West,,,,,,,,,60,53,,,
283,University of North Carolina at Greensboro,1,13,West,,,,,,,,,61,52,,,
272,University of Montana,1,14,West,,,,,,,,,62,51,,,
111,Lipscomb University,1,15,West,,,,,,,,,63,50,,,
"143,210",North Carolina Central/Texas Southern,1,16,West,,,,,,,,,64,49,,,
